Movie Name,Release Year,Rank,Director Name,Genres
 Flor da Pele,1976,5.5,Francisco Ramalho Jr.,Drama
 Margem da Imagem,2003,8.7,Evaldo Mocarzel,Documentary
 arrivato mio fratello,1985,5.1,Franco (I) Castellano,Comedy
 arrivato mio fratello,1985,5.1,Giuseppe Moccia,Comedy
 belles dents,1966,5.5,Pierre Gaspard-Huit,Drama
" bientt, j'espre",1968,5.2,Chris Marker,Documentary
" bientt, j'espre",1968,5.2,Mario Marret,Documentary
 bout de souffle,1960,7.8,Jean-Luc Godard,"Crime, Drama, Romance"
 cause d'elle,1993,6.0,Jean-Loup Hubert,"Drama, Romance"
" cause,  cause d'une femme",1963,7.2,Michel Deville,"Comedy, Crime"
 chacun son enfer,1977,6.0,André Cayatte,"Drama, Mystery"
 coeur joie,1967,4.0,Serge Bourguignon,"Drama, Romance"
 corps perdu,1988,6.8,Léa Pool,"Drama, War"
 cran,1995,3.1,Solange Martin,Romance
 de Chu,1958,3.9,Victor Lima,"Comedy, Musical"
 double tour,1959,6.2,Claude Chabrol,Drama
 gauche en sortant de l'ascenseur,1988,5.8,Edouard Molinaro,Comedy
 gi ieri,2004,4.3,Giulio Manfredonia,Comedy
 l'abri des regards indiscrets,2002,7.2,Hugo Gélin,Short
 l'abri des regards indiscrets,2002,7.2,Ruben Alves,Short
 la belle toile,1993,6.4,Antoine Desrosières,"Drama, Romance"
 la folie,1994,5.1,Diane Kurys,Drama
 la folie... pas du tout,2002,7.3,Laetitia Colombani,"Romance, Thriller"
 la petite semaine,2003,6.4,Sam Karmann,"Comedy, Drama"
 la place du coeur,1998,6.4,Robert Guédiguian,"Comedy, Drama"
 la recherche de Kundun avec Martin Scorsese,1998,8.1,Michael Henry Wilson,Documentary
 la vitesse d'un cheval au galop,1992,4.0,Fabien Onteniente,Comedy
 louer,2001,7.2,James L. Frachon,Short
 mort la mort,1999,5.8,Romain Goupil,Drama
 nos amours,1983,7.5,Maurice Pialat,Drama
 nous la libert,1931,8.2,René Clair,"Comedy, Musical"
 nous les garons,1985,3.2,Michel Lang,Comedy
 nous les petites anglaises,1976,5.1,Michel Lang,"Comedy, Romance"
 part,1992,7.9,Gérard Cairaschi,Short
 pericoloso sporgersi,1984,5.6,Jaco van Dormael,Short
 pericoloso sporgersi,1994,6.3,Nae Caranfil,Drama
 primavera...,1948,6.2,Renato Castellani,Drama
 propos de Nice,1930,7.1,Jean Vigo,"Documentary, Short"
 seile sin egen sj,2002,8.2,Øyvind Sandberg,Documentary
 skm drekans,2002,7.3,Hrönn Sveinsdóttir,"Documentary, Drama"
 skm drekans,2002,7.3,Árni Sveinsson,"Documentary, Drama"
 skugga hrafnsins,1988,5.8,Hrafn Gunnlaugsson,Drama
 tornato Sabata... hai chiuso un'altra volta,1971,5.0,Gianfranco Parolini,Western
 tout de suite,2004,7.0,Benoît Jacquot,Drama
 tout prendre,1964,6.7,Claude Jutra,Drama
 toute vitesse,1996,6.5,Gaël Morel,Drama
 vendre,1998,6.3,Laetitia Masson,Drama
$,1971,6.4,Richard (I) Brooks,"Comedy, Crime"
"$1,000,000 Duck",1971,5.0,Vincent McEveety,"Comedy, Family"
$1000 a Touchdown,1939,6.7,James P. (I) Hogan,Comedy
$30,1999,7.5,Gregory (I) Cooke,"Comedy, Short"
"$40,000",1996,9.6,William Lorton,Comedy
$pent,2000,4.3,Gil Cates Jr.,Drama
$windle,2002,5.4,K.C. Bascombe,"Action, Crime, Thriller"
'15',2002,6.8,Royston Tan,"Documentary, Short"
'38,1987,6.7,Wolfgang Glück,Drama
'49-'17,1917,5.8,Ruth Ann Baldwin,Western
'68,1988,5.5,Steven (I) Kovacs,Drama
"'?' Motorist, The",1906,6.8,Walter R. Booth,"Comedy, Fantasy, Sci-Fi, Short"
'A',1965,7.1,Jan Lenica,Short
'A' gai waak,1983,7.2,Jackie (I) Chan,"Action, Comedy"
'A' gai waak,1983,7.2,Sammo Hung Kam-Bo,"Action, Comedy"
'A' gai waak juk jaap,1987,7.2,Jackie (I) Chan,"Action, Comedy, Crime"
'Babicky dobjejte presne!',1983,5.6,Ladislav Rychman,"Horror, Sci-Fi"
'Breaker' Morant,1980,7.9,Bruce Beresford,"Drama, War"
'Broadway Melody of 1940',1940,7.1,Norman Taurog,Musical
'Bullitt': Steve McQueen's Commitment to Reality,1968,6.6,Ronald Saland,"Documentary, Short"
'Crocodile' Dundee II,1988,4.9,John (I) Cornell,"Action, Adventure, Comedy"
'E',1981,7.9,Bretislav Pojar,"Animation, Comedy, Short"
'G' Men,1935,7.2,William Keighley,"Crime, Drama"
"'High Sign', The",1921,7.7,Buster Keaton,"Comedy, Short"
"'High Sign', The",1921,7.7,Edward F. Cline,"Comedy, Short"
"'Hyp-Nut-Tist', The",1935,6.1,Dave Fleischer,"Animation, Comedy, Family, Short"
'If Only' Jim,1920,3.5,Jacques Jaccard,Western
"'Imhar', une lgende",1997,6.9,Jacques Dubuisson,"Drama, Family"
"'J to tedy beru, sfe...!'",1977,5.2,Petr Schulhoff,Comedy
'Java Madness' formerly titled 'Coffee Madness',1995,6.6,Bart Everson,"Comedy, Short"
"'Je vous salue, Marie'",1985,6.4,Jean-Luc Godard,"Drama, Fantasy"
'Kaash',1987,5.7,Mahesh (I) Bhatt,"Drama, Family"
"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,7.9,Adam Collis,Short
'Manos' the Hands of Fate,1966,1.6,Hal Warren,Horror
'Merci la vie',1991,7.2,Bertrand Blier,Drama
'Ne gnstige Gelegenheit,1999,4.6,Gernot Roll,"Comedy, Crime, Romance"
'Neath Brooklyn Bridge,1942,5.4,Wallace Fox,Comedy
'Neath Canadian Skies,1946,4.0,B. Reeves Eason,"Short, Western"
'Neath the Arizona Skies,1934,4.9,Harry L. Fraser,Western
"'Night, Mother",1986,6.7,Tom (II) Moore,Drama
"'Non', ou A V Glria de Mandar",1990,6.8,Manoel de Oliveira,Drama
'O re,1989,4.0,Luigi Magni,Comedy
'Pimpernel' Smith,1941,7.0,Leslie (I) Howard,Drama
'Round Midnight,1986,7.3,Bertrand Tavernier,"Drama, Music"
"'Teddy' Bears, The",1907,2.0,Edwin S. Porter,"Animation, Short"
'Til There Was You,1997,4.8,Scott Winant,"Comedy, Romance"
'Til We Meet Again,1940,6.3,Anatole Litvak,"Drama, Romance"
'Til We Meet Again,1940,6.3,Edmund Goulding,"Drama, Romance"
'Til We Meet Again,1940,6.3,William K. (I) Howard,"Drama, Romance"
'Til We Meet Again,1940,6.3,William Keighley,"Drama, Romance"
'What's Your 'I.Q.'?' Number Two,1940,5.9,George (II) Sidney,"Documentary, Short"
"'burbs, The",1989,5.9,Joe (I) Dante,"Comedy, Family, Horror"
*Corpus Callosum,2002,4.9,Michael (I) Snow,Drama
*batteries not included,1987,5.7,Matthew (I) Robbins,"Comedy, Family, Fantasy, Sci-Fi"
+1 -1,1987,9.6,Guido Manuli,"Animation, Comedy, Short"
-30-,1959,6.0,Jack Webb,Drama
-But the Flesh Is Weak,1932,6.3,Jack Conway,Comedy
". 19,99",1998,6.3,Mart Dominicus,Comedy
...4 ...3 ...2 ...1 ...morte,1967,3.8,Primo Zeglio,Sci-Fi
...A Valparaso,1962,7.4,Joris Ivens,"Documentary, Short"
...A ya uezzhayu domoy,1968,4.3,Nikita Mikhalkov,Short
...All the Marbles,1981,5.5,Robert Aldrich,"Action, Comedy, Drama, Romance"
...Almost,1990,5.2,Michael Pattinson,"Drama, Romance"
...And Justice for All,1979,6.9,Norman Jewison,"Crime, Drama, Thriller"
...And Millions Die!,1973,4.0,Leslie H. Martinson,Thriller
...And the Earth Did Not Swallow Him,1995,5.8,Severo Pérez,Drama
...Aur Pyaar Ho Gaya,1997,5.5,Rahul Rawail,"Comedy, Drama, Family, Musical, Romance"
...Because She Disobeyed,1935,6.0,Rita Waterhouse,"Comedy, Crime, Drama, Thriller"
"...Belpaese, Il",1977,5.5,Luciano Salce,"Comedy, Drama"
...Comme elle respire,1998,5.9,Pierre Salvadori,"Comedy, Crime"
